Record Length,4096,,Source,CH1
Sample Interval,0.0000000050000,,Second,Volt
Vertical Units,CH1:V,,-0.000013440000,0.39600
Vertical Scale,CH1:0.10,,-0.000013435000,0.39200
Vertical Offset,CH1:-0.15600,,-0.000013430000,0.39600
Horizontal Units,s,,-0.000013425000,0.39200
Horizontal Scale,0.0000010000,,-0.000013420000,0.39600
Model Number,WaveAce112,,-0.000013414999,0.40000
Serial Number,LCRY2101C02399,,-0.000013410000,0.39600
Software Version,2.07.02.16,,-0.000013405000,0.40000
,,,-0.000013400000,0.40000
,,,-0.000013395000,0.39600
,,,-0.000013390000,0.40400
,,,-0.000013385000,0.40000
,,,-0.000013379999,0.40000
,,,-0.000013375000,0.40400
,,,-0.000013369999,0.40800
,,,-0.000013365000,0.40800
,,,-0.000013360000,0.40800
,,,-0.000013355000,0.40400
,,,-0.000013350000,0.41200
,,,-0.000013345000,0.40400
,,,-0.000013340000,0.41200
,,,-0.000013334999,0.41200
,,,-0.000013330000,0.41200
,,,-0.000013324999,0.41600
,,,-0.000013320000,0.41200
,,,-0.000013315000,0.41600
,,,-0.000013310000,0.41200
,,,-0.000013305000,0.42000
,,,-0.000013300000,0.41600
,,,-0.000013295000,0.41600
,,,-0.000013289999,0.41600
,,,-0.000013285000,0.42000
,,,-0.000013279999,0.41600
,,,-0.000013275000,0.42000
,,,-0.000013270000,0.42400
,,,-0.000013265000,0.42400
,,,-0.000013260000,0.42400
,,,-0.000013255000,0.42800
,,,-0.000013250000,0.42800
,,,-0.000013244999,0.42800
,,,-0.000013240000,0.42800
,,,-0.000013234999,0.42400
,,,-0.000013230000,0.42800
,,,-0.000013225000,0.43200
,,,-0.000013220000,0.43200
,,,-0.000013215000,0.43600
,,,-0.000013210000,0.43200
,,,-0.000013205000,0.44000
,,,-0.000013199999,0.43600
,,,-0.000013195000,0.43200
,,,-0.000013190000,0.44000
,,,-0.000013185000,0.44000
,,,-0.000013180000,0.44400
,,,-0.000013175000,0.44000
,,,-0.000013170000,0.44400
,,,-0.000013164999,0.44400
,,,-0.000013160000,0.44400
,,,-0.000013154999,0.44000
,,,-0.000013150000,0.44800
,,,-0.000013145000,0.44800
,,,-0.000013140000,0.44400
,,,-0.000013135000,0.45600
,,,-0.000013130000,0.44800
,,,-0.000013125000,0.45600
,,,-0.000013119999,0.44800
,,,-0.000013115000,0.44800
,,,-0.000013109999,0.46000
,,,-0.000013105000,0.46000
,,,-0.000013100000,0.46000
,,,-0.000013095000,0.45600
,,,-0.000013090000,0.46400
,,,-0.000013085000,0.45600
,,,-0.000013080000,0.46400
,,,-0.000013074999,0.46000
,,,-0.000013070000,0.46400
,,,-0.000013064999,0.46400
,,,-0.000013060000,0.46800
,,,-0.000013055000,0.46800
,,,-0.000013050000,0.46800
,,,-0.000013045000,0.46800
,,,-0.000013040000,0.46800
,,,-0.000013035000,0.46800
,,,-0.000013029999,0.47200
,,,-0.000013025000,0.47200
,,,-0.000013020000,0.47600
,,,-0.000013015000,0.47600
,,,-0.000013010000,0.47600
,,,-0.000013005000,0.47600
,,,-0.000013000000,0.48000
,,,-0.000012995000,0.47200
,,,-0.000012990000,0.47200
,,,-0.000012984999,0.48400
,,,-0.000012980000,0.48400
,,,-0.000012975000,0.48000
,,,-0.000012970000,0.48400
,,,-0.000012965000,0.48400
,,,-0.000012960000,0.48400
,,,-0.000012955000,0.48400
,,,-0.000012949999,0.48400
,,,-0.000012945000,0.48400
,,,-0.000012939999,0.48400
,,,-0.000012935000,0.49200
,,,-0.000012930000,0.48800
,,,-0.000012925000,0.49200
,,,-0.000012920000,0.49200
,,,-0.000012915000,0.48800
,,,-0.000012910000,0.49600
,,,-0.000012904999,0.49200
,,,-0.000012900000,0.49600
,,,-0.000012894999,0.49600
,,,-0.000012890000,0.49600
,,,-0.000012885000,0.50000
,,,-0.000012880000,0.50000
,,,-0.000012875000,0.50000
,,,-0.000012870000,0.50400
,,,-0.000012865000,0.50000
,,,-0.000012859999,0.50000
,,,-0.000012855000,0.50400
,,,-0.000012849999,0.50400
,,,-0.000012845000,0.50000
,,,-0.000012840000,0.50400
,,,-0.000012835000,0.50800
,,,-0.000012830000,0.51200
,,,-0.000012825000,0.50400
,,,-0.000012820000,0.51200
,,,-0.000012814999,0.50800
,,,-0.000012810000,0.51200
,,,-0.000012805000,0.51600
,,,-0.000012800000,0.51200
,,,-0.000012795000,0.50800
,,,-0.000012790000,0.51600
,,,-0.000012785000,0.51600
,,,-0.000012780000,0.51600
,,,-0.000012775000,0.51600
,,,-0.000012769999,0.51600
,,,-0.000012765000,0.52000
,,,-0.000012760000,0.51600
,,,-0.000012755000,0.52000
,,,-0.000012750000,0.52000
,,,-0.000012745000,0.52400
,,,-0.000012740000,0.52800
,,,-0.000012734999,0.52400
,,,-0.000012730000,0.52400
,,,-0.000012724999,0.52400
,,,-0.000012720000,0.52400
,,,-0.000012715000,0.52400
,,,-0.000012710000,0.52800
,,,-0.000012705000,0.52000
,,,-0.000012700000,0.51600
,,,-0.000012695000,0.52000
,,,-0.000012689999,0.51600
,,,-0.000012685000,0.52000
,,,-0.000012679999,0.51600
,,,-0.000012675000,0.51600
,,,-0.000012670000,0.51200
,,,-0.000012665000,0.50000
,,,-0.000012660000,0.49200
,,,-0.000012655000,0.48000
,,,-0.000012650000,0.44000
,,,-0.000012644999,0.32800
,,,-0.000012640000,0.09200
,,,-0.000012634999,-0.12800
,,,-0.000012630000,-0.26800
,,,-0.000012625000,-0.25200
,,,-0.000012620000,-0.18000
,,,-0.000012615000,-0.13600
,,,-0.000012610000,-0.13600
,,,-0.000012605000,-0.16400
,,,-0.000012599999,-0.16800
,,,-0.000012595000,-0.16400
,,,-0.000012590000,-0.14400
,,,-0.000012585000,-0.14400
,,,-0.000012580000,-0.14000
,,,-0.000012575000,-0.15600
,,,-0.000012570000,-0.14800
,,,-0.000012565000,-0.14800
,,,-0.000012560000,-0.14000
,,,-0.000012554999,-0.14800
,,,-0.000012550000,-0.14800
,,,-0.000012545000,-0.16000
,,,-0.000012540000,-0.15600
,,,-0.000012535000,-0.14400
,,,-0.000012530000,-0.14000
,,,-0.000012525000,-0.14400
,,,-0.000012519999,-0.14800
,,,-0.000012515000,-0.14800
,,,-0.000012509999,-0.13600
,,,-0.000012505000,-0.13600
,,,-0.000012500000,-0.13600
,,,-0.000012495000,-0.14400
,,,-0.000012490000,-0.14400
,,,-0.000012485000,-0.14400
,,,-0.000012480000,-0.13600
,,,-0.000012474999,-0.14400
,,,-0.000012470000,-0.14400
,,,-0.000012464999,-0.14400
,,,-0.000012460000,-0.14000
,,,-0.000012455000,-0.14000
,,,-0.000012450000,-0.13600
,,,-0.000012445000,-0.14400
,,,-0.000012440000,-0.14400
,,,-0.000012435000,-0.14400
,,,-0.000012429999,-0.13600
,,,-0.000012425000,-0.14400
,,,-0.000012419999,-0.14400
,,,-0.000012415000,-0.14800
,,,-0.000012410000,-0.14000
,,,-0.000012405000,-0.14000
,,,-0.000012400000,-0.14400
,,,-0.000012395000,-0.14400
,,,-0.000012390000,-0.14000
,,,-0.000012384999,-0.14000
,,,-0.000012380000,-0.13200
,,,-0.000012375000,-0.13200
,,,-0.000012370000,-0.14000
,,,-0.000012365000,-0.14400
,,,-0.000012360000,-0.13600
,,,-0.000012355000,-0.14800
,,,-0.000012350000,-0.15600
,,,-0.000012345000,-0.16000
,,,-0.000012339999,-0.14400
,,,-0.000012335000,-0.13200
,,,-0.000012330000,-0.13200
,,,-0.000012325000,-0.13200
,,,-0.000012320000,-0.14800
,,,-0.000012315000,-0.14800
,,,-0.000012310000,-0.13600
,,,-0.000012304999,-0.13600
,,,-0.000012300000,-0.13600
,,,-0.000012294999,-0.14000
,,,-0.000012290000,-0.14400
